id,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion
265,josue,MED,30,27,wolfsburgo,2010,BRA
266,joão miranda,DEF,33,47,inter de milan,2018,BRA
267,juan,DEF,31,74,roma,2010,BRA
268,julio baptista,MED,28,46,roma,2010,BRA
269,julio cesar,POR,30,48,inter de milan,2010,BRA
269,julio cesar,POR,34,80,toronto,2014,BRA
270,kaka,MED,28,78,real madrid,2010,BRA
271,kleberson,MED,30,31,flamengo,2010,BRA
272,lucio,DEF,32,91,inter de milan,2010,BRA
273,luis fabiano,DEL,29,38,sevilla,2010,BRA
274,luisão,DEF,29,42,benfica,2010,BRA
275,luiz felipe scolari,DT,,,,2014,BRA
276,luiz gustavo,CEN,26,19,wolfsburgo,2014,BRA
277,maicon,DEF,28,58,inter de milan,2010,BRA
277,maicon,DEF,32,72,roma,2014,BRA
278,marcelo,DEF,26,31,real madrid,2014,BRA
278,marcelo,DEF,30,54,real madrid,2018,BRA
279,marquinhos,DEF,24,26,paris saint-germain,2018,BRA
280,maxwell,DEF,32,9,paris saint-germain,2014,BRA
281,michel bastos,DEF,26,5,olympique de lyon,2010,BRA
282,neymar jr,DEL,22,49,fc barcelona,2014,BRA
282,neymar jr,DEL,26,85,paris saint-germain,2018,BRA
283,nilmar,DEL,25,17,villarreal,2010,BRA
284,oscar,CEN,22,31,chelsea,2014,BRA
285,paulinho,CEN,25,26,tottenham hotspur,2014,BRA
285,paulinho,MED,29,50,fc barcelona,2018,BRA
286,pedro geromel,DEF,32,2,gremio,2018,BRA
287,philippe coutinho,MED,26,37,fc barcelona,2018,BRA
288,ramires,MED,23,12,benfica,2010,BRA
288,ramires,CEN,27,42,chelsea,2014,BRA
289,renato augusto,MED,30,28,beijing sinobo guoan,2018,BRA
290,roberto firmino,DEL,26,21,liverpool,2018,BRA
291,robinho,DEL,26,75,santos,2010,BRA
292,taison,DEL,30,8,shakhtar donetsk,2018,BRA
293,thiago silva,DEF,26,9,ac milan,2010,BRA
