id jugador,jugador,goles,partidos,promedio,seleccion,year
1521,valter birsa,1,3,0.3,SLN,2010
819,vasilis torosidis,1,3,0.3,GRE,2010
235,vedad ibišević,1,3,0.3,BOS,2014
1249,victor moses,1,3,0.3,NGR,2018
965,vincenzo iaquinta,1,3,0.3,ITA,2010
1811,wahbi khazri,2,3,0.7,TNZ,2018
630,wayne rooney,1,3,0.3,ENG,2014
1192,wesley sneijder,5,7,0.7,NED,2010
1192,wesley sneijder,1,6,0.2,NED,2014
1002,wilfried bony,2,3,0.7,IVC,2014
1278,winston reid,1,3,0.3,NZL,2010
1673,xabi alonso,1,3,0.3,SPA,2014
1787,xherdan shaqiri,3,4,0.8,SWZ,2014
1787,xherdan shaqiri,1,4,0.2,SWZ,2018
40,yacine brahimi,1,3,0.3,ALG,2014
1254,yakubu aiyegbeni,1,3,0.3,NGR,2010
1045,yasuhito endo,1,4,0.2,JAP,2010
1003,yaya toure,1,3,0.3,IVC,2010
404,yerry mina,3,3,1,COL,2018
1102,youssef en-nesyri,1,1,1,MAR,2018
1451,yuri gazinski,1,4,0.2,RUS,2018
519,yussuf poulsen,1,3,0.3,DEN,2018
1054,yuya osako,1,4,0.2,JAP,2018
1522,zlatan ljubijankič,1,3,0.3,SLN,2010
