#,Nombre,Posicion,Edad,PJ Sel,Club,year,Seleccion,id
2,cha jong-hyok,DEF,24,33,amrokgang,2010,KPR,1058
12,choe kum-chol,DEL,23,21,4.25,2010,KPR,1059
10,hong yong-jo,DEL,28,65,fc rostov,2010,KPR,1060
8,ji yun-nam,DEF,33,28,4.25,2010,KPR,1061
9,jong tae-se,DEL,26,23,kawasaki frontale,2010,KPR,1062
24,kim jong-hun,DT,               ,               ,,2010,KPR,1063
6,kim kum-il,MED,22,12,4.25,2010,KPR,1064
22,kim kyong-il,MED,21,3,rimyongsu,2010,KPR,1065
18,kim myong-gil,POR,25,31,amrokgang,2010,KPR,1066
20,kim myong-won,POR,26,10,amrokgang,2010,KPR,1067
15,kim yong-jun,MED,26,85,pyongyang city,2010,KPR,1068
11,mun in-guk,MED,31,41,4.25,2010,KPR,1069
16,nam song-chol,DEF,28,51,4.25,2010,KPR,1070
13,pak chol-jin,DEF,24,32,amrokgang,2010,KPR,1071
4,pak nam-chol,MED,24,31,4.25,2010,KPR,1072
14,pak nam-chol,DEF,21,6,amrokgang,2010,KPR,1072
23,pak sung-hyok,MED,20,3,sobaeksu,2010,KPR,1073
19,ri chol-myong,MED,22,4,pyongyang city,2010,KPR,1074
3,ri jun-il,DEF,22,26,sobaeksu,2010,KPR,1075
5,ri kwang-chon,DEF,24,37,4.25,2010,KPR,1076
21,ri kwang-hyok,DEF,22,0,kyonggongop,2010,KPR,1077
1,ri myong-guk,POR,23,33,pyongyang city,2010,KPR,1078
2,achraf hakimi,DEF,19,10,real madrid,2018,MAR,1079
22,ahmed reda tagnaouti,POR,22,2,ittihad tanger,2018,MAR,1080
18,amine harit,MED,20,6,schalke 04,2018,MAR,1081
9,ayoub el kaabi,DEL,24,10,renaissance de berkane,2018,MAR,1082
20,aziz bouhaddouz,DEL,31,15,st. pauli,2018,MAR,1083
11,fayçal fajr,MED,29,23,getafe,2018,MAR,1084
7,hakim ziyech,MED,25,18,ajax,2018,MAR,1085
3,hamza mendyl,DEF,20,13,lille,2018,MAR,1086
24,herve renard,DT,               ,               ,,,MAR,1087
8,karim el ahmadi,MED,33,51,feyenoord,2018,MAR,1088
13,khalid boutaib,DEL,31,18,yeni malatyaspor,2018,MAR,1089
4,manuel da costa,DEF,32,28,estambul başakşehir,2018,MAR,1090
14,mbark boussoufa,MED,33,59,al-jazira,2018,MAR,1091
5,mehdi benatia,DEF,31,57,juventus,2018,MAR,1092
23,mehdi carcela-gonzalez,MED,28,20,standard lieja,2018,MAR,1093
12,munir mohamedi,POR,29,27,numancia,2018,MAR,1094
17,nabil dirar,DEF,32,34,fenerbahçe,2018,MAR,1095
16,nordin amrabat,MED,31,44,leganes,2018,MAR,1096
6,romain saiss,DEF,28,24,wolverhampton wanderers,2018,MAR,1097
21,sofyan amrabat,MED,21,6,feyenoord,2018,MAR,1098
1,yassine bounou,POR,27,11,girona,2018,MAR,1099
10,younès belhanda,MED,28,47,galatasaray,2018,MAR,1100
15,youssef ait bennasser,MED,21,14,caen,2018,MAR,1101
19,youssef en-nesyri,DEL,21,16,malaga,2018,MAR,1102
21,adolfo bautista,DEL,31,31,guadalajara,2010,MEX,1103
11,alan pulido,DEL,23,6,tigres uanl,2014,MEX,1104
22,alberto medina,MED,27,53,guadalajara,2010,MEX,1105
12,alfredo talavera,POR,31,14,toluca,2014,MEX,1106
12,alfredo talavera,POR,35,27,d. toluca,2018,MEX,1106
18,andres guardado,MED,23,52,deportivo la coruña,2010,MEX,1107
18,andres guardado,MED,27,106,bayer leverkusen,2014,MEX,1107
18,andres guardado,MED,31,145,real betis,2018,MEX,1107
21,carlos peña,MED,24,15,leon,2014,MEX,1108
3,carlos salcedo,DEF,24,21,eintracht frankfurt,2018,MEX,1109
3,carlos salcido,DEF,30,70,psv eindhoven,2010,MEX,1110
3,carlos salcido,DEF,34,122,tigres uanl,2014,MEX,1110
11,carlos vela,DEL,21,24,arsenal fc,2010,MEX,1111
11,carlos vela,DEL,29,68,los angeles f. c.,2018,MEX,1111
10,cuauhtemoc blanco n. 1​,DEL,37,112,veracruz,2010,MEX,1112
5,diego reyes,DEF,21,15,porto,2014,MEX,1113
21,edson alvarez,DEF,20,13,c. america,2018,MEX,1114
16,efrain juarez,DEF,22,16,unam,2010,MEX,1115
5,erick gutierrez,MED,22,9,c. f. pachuca,2018,MEX,1116
2,francisco rodriguez,DEF,28,45,psv eindhoven,2010,MEX,1117
2,francisco rodriguez,DEF,32,97,america,2014,MEX,1117
6,gerardo torrado n. 1​,MED,31,112,cruz azul,2010,MEX,1118
17,giovani dos santos,MED,21,23,galatasaray,2010,MEX,1119
10,giovani dos santos,DEL,25,78,villarreal,2014,MEX,1119
10,giovani dos santos,MED,29,105,los angeles galaxy,2018,MEX,1119
9,guillermo franco,DEL,33,20,west ham united,2010,MEX,1120
13,guillermo ochoa,POR,24,36,america,2010,MEX,1121
13,guillermo ochoa,POR,28,61,ajaccio,2014,MEX,1121
13,guillermo ochoa,POR,32,94,standard liège,2018,MEX,1121
6,hector herrera,MED,24,17,porto,2014,MEX,1122
16,hector herrera,DEF,28,66,f. c. porto,2018,MEX,1122
15,hector moreno,DEF,22,7,az alkmaar,2010,MEX,1123
15,hector moreno,DEF,26,57,rcd español,2014,MEX,1123
15,hector moreno,DEF,30,92,real sociedad,2018,MEX,1123
22,hirving lozano,DEL,22,28,psv eindhoven,2018,MEX,1124
2,hugo ayala,DEF,31,43,c. f. tigres uanl,2018,MEX,1125
17,isaac brizuela,MED,23,7,toluca,2014,MEX,1126
8,israel castro,MED,29,27,unam,2010,MEX,1127
24,javier aguirre,DT,               ,               ,,2010,MEX,1128
20,javier aquino,MED,24,23,villarreal,2014,MEX,1129
20,javier aquino,MED,28,53,c. f. tigres uanl,2018,MEX,1129
14,javier hernandez,DEL,22,8,guadalajara,2010,MEX,1130
14,javier hernandez,DEL,26,66,manchester united,2014,MEX,1130
14,javier hernandez,DEL,30,102,west ham united f. c.,2018,MEX,1130
23,jesus gallardo,MED,23,23,c. universidad nacional,2018,MEX,1131
17,jesus manuel corona,MED,25,36,f. c. porto,2018,MEX,1132
6,jonathan dos santos,MED,28,32,los angeles galaxy,2018,MEX,1133
19,jonny magallon,DEF,28,50,guadalajara,2010,MEX,1134
20,jorge torres nilo,DEF,22,6,atlas,2010,MEX,1135
1,jose de jesus corona,POR,33,33,cruz azul,2014,MEX,1136
1,jose de jesus corona,POR,37,52,cruz azul f. c.,2018,MEX,1136
23,jose juan vazquez,MED,26,8,leon,2014,MEX,1137
24,juan carlos osorio,DT,               ,               ,,2018,MEX,1138
23,luis ernesto michel,POR,30,4,guadalajara,2010,MEX,1139
8,marco fabian,MED,24,18,cruz azul,2014,MEX,1140
8,marco fabian,DEL,29,39,eintracht frankfurt,2018,MEX,1140
16,miguel angel ponce1,DEF,25,7,toluca,2014,MEX,1141
24,miguel herrera,DT,               ,               ,,2014,MEX,1142
7,miguel layun,DEF,25,17,america,2014,MEX,1143
7,miguel layun,MED,29,64,sevilla f. c.,2018,MEX,1143
19,oribe peralta,DEL,30,32,santos laguna,2014,MEX,1144
19,oribe peralta,DEL,34,67,c. america,2018,MEX,1144
1,oscar perez,POR,37,49,jaguares,2010,MEX,1145
7,pablo barrera,MED,22,17,unam,2010,MEX,1146
12,paul aguilar,DEF,24,7,pachuca,2010,MEX,1147
22,paul aguilar,DEF,28,32,america,2014,MEX,1147
4,rafael marquez,DEF,35,124,leon,2014,MEX,1148
4,rafael marquez,DEF,39,145,atlas f. c.,2018,MEX,1148
4,rafael marquez​,DEF,31,88,fc barcelona,2010,MEX,1149
9,raul jimenez,DEL,23,24,america,2014,MEX,1150
9,raul jimenez,DEL,27,63,s. l. benfica,2018,MEX,1150
5,ricardo osorio,DEF,30,74,vfb stuttgart,2010,MEX,1151
13,andre ooijer,DEF,35,54,psv eindhoven,2010,NED,1152
11,arjen robben,MED,26,47,bayern de munich,2010,NED,1153
11,arjen robben,DEL,30,75,bayern de munich,2014,NED,1153
24,bert van marwijk,DT,               ,               ,,,NED,1154
4,bruno martins indi,DEF,22,2,feyenoord,2014,NED,1155
5,daley blind,DEF,24,12,ajax,2014,NED,1156
7,daryl janmaat,DEF,24,16,feyenoord,2014,NED,1157
14,demy de zeeuw,MED,27,25,ajax,2010,NED,1158
7,dirk kuyt,DEL,29,63,liverpool,2010,NED,1159
15,dirk kuyt,DEL,33,98,fenerbahçe,2014,NED,1159
15,edson braafheid,DEF,27,7,celtic,2010,NED,1160
17,eljero elia,DEL,23,9,hamburgo sv,2010,NED,1161
20,georginio wijnaldum,CEN,23,5,psv eindhoven,2014,NED,1162
5,giovanni van bronckhorst,DEF,35,99,feyenoord,2010,NED,1163
2,gregory van der wiel,DEF,22,10,ajax,2010,NED,1164
20,ibrahim afellay,MED,24,23,psv eindhoven,2010,NED,1165
1,jasper cillessen,POR,25,8,ajax de amsterdam,2014,NED,1166
17,jeremain lens,DEL,26,22,dinamo kiev,2014,NED,1167
13,joel veltman,DEF,22,2,ajax de amsterdam,2014,NED,1168
3,john heitinga,DEF,26,54,everton,2010,NED,1169
8,jonathan de guzman,CEN,26,10,swansea city,2014,NED,1170
16,jordy clasie,CEN,22,8,feyenoord,2014,NED,1171
4,joris mathijsen,DEF,30,56,hamburgo,2010,NED,1172
12,khalid boulahrouz,DEF,28,29,stuttgart,2010,NED,1173
21,klaas-jan huntelaar,DEL,26,32,ac milan,2010,NED,1174
19,klaas-jan huntelaar,DEL,30,62,schalke 04,2014,NED,1174
18,leroy fer,CEN,24,6,norwich city,2014,NED,1175
24,louis van gaal,DT,               ,               ,,,NED,1176
1,maarten stekelenburg,POR,27,27,ajax,2010,NED,1177
6,mark van bommel,MED,33,56,bayern de munich,2010,NED,1178
21,memphis depay,DEL,20,6,psv eindhoven,2014,NED,1179
16,michel vorm,POR,26,4,fc utrecht,2010,NED,1180
22,michel vorm,POR,30,14,swansea city,2014,NED,1180
8,nigel de jong,MED,25,42,manchester city,2010,NED,1181
6,nigel de jong,CEN,29,71,milan,2014,NED,1181
12,paul verhaegh,DEF,30,2,augsburgo,2014,NED,1182
23,rafael van der vaart,MED,27,78,real madrid,2010,NED,1183
9,robin van persie,DEL,26,44,arsenal,2010,NED,1184
9,robin van persie,DEL,30,85,manchester united,2014,NED,1184
2,ron vlaar,DEF,29,24,aston villa,2014,NED,1185
19,ryan babel,DEL,23,39,liverpool,2010,NED,1186
22,sander boschker,POR,39,1,twente,2010,NED,1187
3,stefan de vrij,DEF,22,12,feyenoord,2014,NED,1188
18,stijn schaars,MED,26,12,az alkmaar,2010,NED,1189
14,terence kongolo,DEF,20,1,feyenoord,2014,NED,1190
23,tim krul,POR,26,5,newcastle united,2014,NED,1191
10,wesley sneijder,MED,25,61,inter de milan,2010,NED,1192
10,wesley sneijder,CEN,30,99,galatasaray,2014,NED,1192
12,abdullahi shehu,DEF,25,25,bursaspor,2018,NGR,1193
7,ahmed musa,DEL,25,72,cska moscu,2018,NGR,1194
7,ahmed musa,DEL,21,32,cska moscu,2014,NGR,1194
18,alex iwobi,DEL,22,19,arsenal,2018,NGR,1195
16,austin ejide,POR,26,19,hapoel petah tikva,2010,NGR,1196
16,austin ejide,POR,               ,               ,hapoel be'er sheva,2014,NGR,1196
13,ayila yussuf,MED,25,27,dinamo de kiev,2010,NGR,1197
6,azubuike egwuekwe,DEF,               ,9,warri wolves,2014,NGR,1198
2,brian idowu,DEF,26,5,amkar perm,2018,NGR,1199
10,brown ideye,DEL,21,               ,fc sochaux,2010,NGR,1200
17,chidi odiah,DEF,26,26,cska moscu,2010,NGR,1201
20,chidozie awaziem,DEF,21,4,fc nantes,2018,NGR,1202
21,chigozie agbim,POR,               ,               ,gombe united,2014,NGR,1203
19,chinedu ogbuke obasi,DEL,24,13,hoffenheim,2010,NGR,1204
16,daniel akpeyi,POR,32,7,chippa united,2018,NGR,1205
6,danny shittu,DEF,29,27,bolton wanderers,2010,NGR,1206
22,dele adeleye,DEF,21,6,sparta rotterdam,2010,NGR,1207
23,dele aiyenugba,POR,26,8,bnei yehuda,2010,NGR,1208
20,dickson etuhu,MED,28,14,fulham,2010,NGR,1209
5,efe ambrose,DEF,25,29,celtic,2014,NGR,1210
3,ejike uzoenyi 1,CEN,22,20,enugu rangers,2014,NGR,1211
21,elderson echiejile,DEF,22,12,stade rennais fc,2010,NGR,1212
3,elderson echiejile,DEF,30,62,cercle brugge,2018,NGR,1212
9,emmanuel emenike,DEL,27,19,fenerbahçe,2014,NGR,1213
23,francis uzoho,POR,19,6,deportivo la coruña,2018,NGR,1214
24,gernot rohr,DT,               ,               ,,,NGR,1215
14,godfrey oboabona,DEF,               ,               ,çaykur rizespor,2014,NGR,1216
1,ikechukwu ezenwa,POR,29,24,enyimba,2018,NGR,1217
15,joel obi,MED,27,17,torino,2018,NGR,1218
10,john obi mikel,MED,31,85,tianjin teda,2018,NGR,1219
10,john obi mikel,CEN,27,52,chelsea,2014,NGR,1219
19,john ogu,MED,30,20,hapoel be'er sheva,2018,NGR,1220
7,john utaka,DEL,28,44,portsmouth fc,2010,NGR,1221
2,joseph yobo,DEF,29,67,everton fc,2010,NGR,1222
2,joseph yobo,DEF,33,82,fenerbahçe,2014,NGR,1222
13,juwon oshaniwa,DEF,               ,               ,ashdod,2014,NGR,1223
12,kalu uche,MED,27,23,ud almeria,2010,NGR,1224
14,kelechi iheanacho,DEL,22,18,leicester city,2018,NGR,1225
22,kenneth omeruo,DEF,24,39,kasımpaşa,2018,NGR,1226
22,kenneth omeruo,DEF,20,3,chelsea,2014,NGR,1226
12,kunle odunlami,DEF,24,2,sunshine stars,2014,NGR,1227
24,lars lagerback,DT,               ,               ,,,NGR,1228
6,leon balogun,DEF,29,19,fsv mainz,2018,NGR,1229
15,lukman haruna,MED,29,5,as monaco,2010,NGR,1230
20,michael uchebo,CEN,               ,               ,cercle brugge,2014,NGR,1231
18,michel babatunde,DEL,               ,               ,volyn lutsk,2014,NGR,1232
4,nwankwo kanu,MED,33,85,portsmouth fc,2010,NGR,1233
9,obafemi martins,DEL,25,34,wolfsburgo,2010,NGR,1234
9,odion ighalo,DEL,28,19,changchun yatai,2018,NGR,1235
17,ogenyi onazi,MED,25,52,trabzonspor,2018,NGR,1236
17,ogenyi onazi,CEN,21,21,lazio,2014,NGR,1236
8,oghenekaro etebo,MED,22,14,las palmas,2018,NGR,1237
11,peter odemwingie,DEL,28,49,lokomotiv moscu,2010,NGR,1238
8,peter odemwingie,DEL,               ,               ,stoke city,2014,NGR,1238
5,rabiu afolabi,DEF,30,16,red bull salzburg,2010,NGR,1239
15,ramon azeez,CEN,               ,               ,almeria,2014,NGR,1240
4,reuben gabriel,CEN,23,24,waasland-beveren,2014,NGR,1241
14,sani kaita,MED,24,22,alania vladikavkaz,2010,NGR,1242
23,shola ameobi,DEL,32,10,newcastle,2014,NGR,1243
13,simeon nwankwo,DEL,26,2,fc crotone,2018,NGR,1244
24,stephen keshi,DT,               ,               ,,,NGR,1245
3,taye taiwo,DEF,25,42,olympique marsella,2010,NGR,1246
21,tyronne ebuehi,DEF,22,7,ado la haya,2018,NGR,1247
19,uche nwofor,DEL,               ,               ,vvv venlo,2014,NGR,1248
11,victor moses,DEL,27,34,chelsea,2018,NGR,1249
11,victor moses,CEN,23,19,chelsea,2014,NGR,1249
18,victor obinna,DEL,23,33,malaga cf,2010,NGR,1250
1,vincent enyeama,POR,27,55,hapoel tel aviv,2010,NGR,1251
1,vincent enyeama,POR,31,82,lille,2014,NGR,1251
4,wilfred ndidi,MED,21,17,leicester city,2018,NGR,1252
5,william troost-ekong,DEF,24,22,bursaspor,2018,NGR,1253
8,yakubu aiyegbeni,DEL,27,50,everton fc,2010,NGR,1254
16,aaron clapham,MED,23,0,canterbury united,2010,NZL,1255
18,andrew boyens,DEF,26,15,new york red bulls,2010,NZL,1256
13,andy barron,MED,29,11,team wellington,2010,NZL,1257
2,ben sigmund,DEF,29,14,wellington phoenix,2010,NZL,1258
10,chris killen,DEL,28,31,middlesbrough,2010,NZL,1259
20,chris wood,DEL,18,9,west bromwich albion,2010,NZL,1260
17,david mulligan,MED,28,25,auckland city,2010,NZL,1261
12,glen moss,POR,27,15,melbourne victory,2010,NZL,1262
5,ivan vicelich,DEF,33,66,auckland city,2010,NZL,1263
23,james bannatyne,POR,34,3,team wellington,2010,NZL,1264
22,jeremy brockie,DEL,22,18,newcastle united jets,2010,NZL,1265
21,jeremy christie,MED,27,22,tampa bay,2010,NZL,1266
11,leo bertos,MED,28,34,wellington phoenix,2010,NZL,1267
1,mark paston,POR,33,23,wellington phoenix,2010,NZL,1268
15,michael mcglinchey,MED,23,5,motherwell,2010,NZL,1269
24,ricki herbert,DT,               ,               ,,2010,NZL,1270
14,rory fallon,DEL,28,7,plymouth argyle,2010,NZL,1271
6,ryan nelsen,DEF,32,41,blackburn rovers,2010,NZL,1272
9,shane smeltz,DEL,28,30,gold coast united,2010,NZL,1273
7,simon elliott,MED,36,63,wellington phoenix,2010,NZL,1274
8,tim brown,MED,29,25,wellington phoenix,2010,NZL,1275
19,tommy smith,DEF,20,4,ipswich town,2010,NZL,1276
3,tony lochhead,DEF,28,30,wellington phoenix,2010,NZL,1277
4,winston reid,DEF,21,3,midtjylland,2010,NZL,1278
16,abdiel arroyo,DEL,24,33,alajuelense,2018,PAN,1279
13,adolfo machado,DEF,33,76,houston dynamo,2018,PAN,1280
22,alex rodriguez,POR,27,6,san francisco,2018,PAN,1281
20,anibal godoy,MED,28,59,san jose earthquakes,2018,PAN,1282
11,armando cooper,MED,30,98,universidad de chile,2018,PAN,1283
7,blas perez,DEL,37,118,municipal,2018,PAN,1284
8,edgar barcenas,MED,24,29,cafetaleros de tapachula,2018,PAN,1285
15,erick davis,DEF,27,38,dunajska streda,2018,PAN,1286
23,felipe baloy,DEF,37,102,municipal,2018,PAN,1287
4,fidel escobar,DEF,23,23,new york red bulls,2018,PAN,1288
6,gabriel gomez,MED,34,144,atletico bucaramanga,2018,PAN,1289
9,gabriel torres,DEL,29,72,huachipato,2018,PAN,1290
3,harold cummings,DEF,26,52,san jose earthquakes,2018,PAN,1291
24,hernan dario gomez,DT,               ,               ,,2018,PAN,1292
10,ismael diaz,DEL,21,11,deportivo fabril,2018,PAN,1293
1,jaime penedo,POR,36,131,dinamo bucurești,2018,PAN,1294
12,jose calderon,POR,32,31,chorrillo,2018,PAN,1295
21,jose luis rodriguez,MED,19,2,kaa gent,2018,PAN,1296
17,luis ovalle,DEF,29,25,cd olimpia,2018,PAN,1297
18,luis tejada,DEL,36,105,sport boys,2018,PAN,1298
2,michael amir murillo,DEF,22,22,new york red bulls,2018,PAN,1299
19,ricardo avila,MED,21,5,kaa gent,2018,PAN,1300
5,roman torres,DEF,32,111,seattle sounders,2018,PAN,1301
14,valentin pimentel,MED,27,23,plaza amador,2018,PAN,1302
22,aldo bobadilla,POR,34,19,independiente medellin,2010,PAR,1303
21,antolin alcaraz,DEF,27,6,brujas,2010,PAR,1304
17,aureliano torres,DEF,27,29,san lorenzo de almagro,2010,PAR,1305
6,carlos bonet,DEF,32,64,olimpia,2010,PAR,1306
3,claudio morel,DEF,32,27,boca juniors,2010,PAR,1307
16,cristian riveros,MED,27,47,cruz azul,2010,PAR,1308
2,dario veron,DEF,30,29,pumas,2010,PAR,1309
4,denis caniza  1°,DEF,35,98,leon,2010,PAR,1310
12,diego barreto,POR,28,3,cerro porteño,2010,PAR,1311
8,edgar barreto,MED,25,48,atalanta,2010,PAR,1312
10,edgar benitez,DEL,22,13,america,2010,PAR,1313
13,enrique vera,MED,31,29,liga de quito,2010,PAR,1314
24,gerardo martino,DT,47,               ,,2010,PAR,1315
11,jonathan santana,MED,28,24,vfl wolfsburgo,2010,PAR,1316
5,julio caceres,DEF,30,63,atletico mineiro,2010,PAR,1317
1,justo villar  2° n. 1​,POR,32,73,real valladolid,2010,PAR,1318
19,lucas barrios,DEL,25,3,borussia dortmund,2010,PAR,1319
18,nelson haedo,DEL,26,38,borussia dortmund,2010,PAR,1320
20,nestor ortigoza,MED,25,6,argentinos juniors,2010,PAR,1321
7,oscar cardozo,DEL,27,29,benfica,2010,PAR,1322
14,paulo da silva,DEF,30,71,sunderland,2010,PAR,1323
23,rodolfo gamarra,DEL,21,3,libertad,2010,PAR,1324
9,roque santa cruz,DEL,28,70,manchester city,2010,PAR,1325
15,victor caceres,MED,25,27,libertad,2010,PAR,1326
2,alberto rodriguez,DEF,34,               ,atletico junior (col),2018,PER,1327
3,aldo corzo,DEF,29,               ,universitario (per),2018,PER,1328
4,anderson santamaria,DEF,26,               ,puebla (mex),2018,PER,1329
18,andre carrillo,DEL,27,               ,watford (ing),2018,PER,1330
14,andy polo,MED,24,               ,portland timbers (usa),2018,PER,1331
12,carlos caceda,POR,27,               ,deportivo municipal (per),2018,PER,1332
8,christian cueva,MED,27,               ,san pablo (bra),2018,PER,1333
15,christian ramos,DEF,30,               ,veracruz (mex),2018,PER,1334
20,edison flores,DEL,24,               ,aalborg bk (din),2018,PER,1335
10,jefferson farfan,DEL,34,               ,lokomotiv moscu (rus),2018,PER,1336
21,jose carvallo,POR,32,               ,utc (per),2018,PER,1337
17,luis advincula,DEF,28,               ,lobos buap (mex),2018,PER,1338
5,miguel araujo,DEF,24,               ,alianza lima (per),2018,PER,1339
6,miguel trauco,DEF,26,               ,flamengo (bra),2018,PER,1340
22,nilson loyola,DEF,24,               ,fbc melgar (per),2018,PER,1341
9,paolo guerrero,DEL,34,               ,flamengo (bra),2018,PER,1342
7,paolo hurtado,MED,28,               ,vitoria de guimarães (por),2018,PER,1343
23,pedro aquino,MED,23,               ,leon (mex),2018,PER,1344
1,pedro gallese,POR,28,               ,veracruz (mex),2018,PER,1345
11,raul ruidiaz,DEL,28,               ,monarcas morelia (mex),2018,PER,1346
13,renato tapia,MED,23,               ,feyenoord (hol),2018,PER,1347
24,ricardo gareca,DT,               ,               ,,2018,PER,1348
16,wilder cartagena,MED,24,               ,veracruz (mex),2018,PER,1349
19,yoshimar yotun,MED,28,               ,orlando city (usa),2018,PER,1350
24,adam nawałka,DT,               ,               ,,2018,POL,1351
7,arkadiusz milik,DEL,24,39,ssc napoli,2018,POL,1352
3,artur jędrzejczyk,DEF,30,35,legia varsovia,2018,POL,1353
18,bartosz bereszyński,DEF,25,7,sampdoria,2018,POL,1354
12,bartosz białkowski,POR,30,1,ipswich town,2018,POL,1355
23,dawid kownacki,DEL,21,1,sampdoria,2018,POL,1356
10,grzegorz krychowiak,MED,28,50,west bromwich albion,2018,POL,1357
6,jacek goralski,MED,25,4,ludogorets razgrad,2018,POL,1358
16,jakub błaszczykowski,MED,32,98,vfl wolfsburg,2018,POL,1359
5,jan bednarek,DEF,22,2,southampton,2018,POL,1360
15,kamil glik,DEF,30,57,as monaco,2018,POL,1361
11,kamil grosicki,MED,30,57,hull city,2018,POL,1362
8,karol linetty,MED,24,20,sampdoria,2018,POL,1363
13,maciej rybus,MED,28,50,lokomotiv moscu,2018,POL,1364
2,michał pazdan,DEF,30,32,legia varsovia,2018,POL,1365
19,piotr zieliński,MED,24,32,ssc napoli,2018,POL,1366
21,rafał kurzawa,MED,25,3,gornik zabrze,2018,POL,1367
9,robert lewandowski,DEL,29,94,bayern munich,2018,POL,1368
17,sławomir peszko,MED,33,43,lechia gdańsk,2018,POL,1369
4,thiago cionek,DEF,32,18,spal ferrara,2018,POL,1370
1,wojciech szczęsny,POR,28,34,juventus,2018,POL,1371
22,łukasz fabiański,POR,33,44,swansea city,2018,POL,1372
20,łukasz piszczek,DEF,33,62,borussia dortmund,2018,POL,1373
14,łukasz teodorczyk,DEL,27,16,rsc anderlecht,2018,POL,1374
23,adrien silva,MED,29,23,leicester city,2018,POR,1375
19,andre almeida,DEF,               ,               ,benfica,2014,POR,1376
9,andre silva,DEL,22,23,milan,2018,POR,1377
12,anthony lopes,POR,27,7,olympique de lyon,2018,POR,1378
23,bebe,DEL,               ,               ,rayo vallecano de madrid,2014,POR,1379
11,bernardo silva,MED,23,25,manchester city,2018,POR,1380
22,beto,POR,               ,               ,sevilla,2014,POR,1381
12,beto,POR,28,1,porto,2010,POR,1381
22,beto,POR,36,14,goztepe,2018,POR,1381
2,bruno alves,DEF,               ,               ,fenerbahçe,2014,POR,1382
2,bruno alves,DEF,28,30,porto,2010,POR,1382
2,bruno alves,DEF,36,96,rangers,2018,POR,1382
16,bruno fernandes,MED,23,6,sporting de lisboa,2018,POR,1383
24,carlos queiroz,DT,               ,               ,,,POR,1384
21,cedric soares,DEF,26,29,southampton,2018,POR,1385
7,cristiano ronaldo,DEL,               ,               ,real madrid,2014,POR,1386
7,cristiano ronaldo,DEL,25,71,real madrid,2010,POR,1386
7,cristiano ronaldo,DEL,33,150,real madrid,2018,POR,1386
22,daniel fernandes,POR,26,2,iraklis,2010,POR,1387
10,danny,DEL,26,10,zenit san petersburgo,2010,POR,1388
20,deco,MED,32,73,chelsea,2010,POR,1389
5,duda,DEF,29,15,malaga,2010,POR,1390
11,eder,DEL,               ,               ,braga,2014,POR,1391
1,eduardo,POR,               ,               ,braga,2014,POR,1392
1,eduardo,POR,27,14,sporting braga,2010,POR,1392
5,fabio coentrão,DEF,               ,               ,real madrid,2014,POR,1393
23,fabio coentrão,MED,22,3,benfica,2010,POR,1393
24,fernando santos,DT,               ,               ,,,POR,1394
18,gelson martins,DEL,23,18,sporting de lisboa,2018,POR,1395
17,gonçalo guedes,DEL,21,10,valencia,2018,POR,1396
9,hugo almeida,DEL,               ,               ,beşiktaş,2014,POR,1397
18,hugo almeida,DEL,25,25,werder bremen,2010,POR,1397
6,jose fonte,DEF,34,31,dalian yifang,2018,POR,1398
10,joão mario,MED,25,36,west ham united,2018,POR,1399
8,joão moutinho,CEN,               ,               ,monaco,2014,POR,1400
8,joão moutinho,MED,31,110,monaco,2018,POR,1400
21,joão pereira,DEF,               ,               ,valencia,2014,POR,1401
9,liedson,DEL,32,9,sporting de lisboa,2010,POR,1402
4,manuel fernandes,MED,32,14,lokomotiv moscu,2018,POR,1403
19,mario rui,DEF,27,4,napoli,2018,POR,1404
13,miguel,DEF,30,56,valencia,2010,POR,1405
4,miguel veloso,CEN,               ,               ,dinamo kiev,2014,POR,1406
14,miguel veloso,MED,24,11,sporting de lisboa,2010,POR,1406
17,nani,DEL,               ,               ,manchester united,2014,POR,1407
14,neto,DEF,               ,               ,zenit san petersburgo,2014,POR,1408
24,paulo bento,DT,               ,               ,,,POR,1409
3,paulo ferreira,DEF,31,61,chelsea,2010,POR,1410
8,pedro mendes,MED,30,7,sporting de lisboa,2010,POR,1411
3,pepe,DEF,               ,               ,real madrid,2014,POR,1412
15,pepe,MED,27,24,real madrid,2010,POR,1412
3,pepe,DEF,35,95,beşiktaş,2018,POR,1412
15,rafa,CEN,               ,               ,braga,2014,POR,1413
5,raphael guerreiro,DEF,24,24,borussia dortmund,2018,POR,1414
16,raul meireles,CEN,               ,               ,fenerbahçe,2014,POR,1415
16,raul meireles,MED,27,33,porto,2010,POR,1415
6,ricardo carvalho,DEF,32,62,chelsea,2010,POR,1416
13,ricardo costa,DEF,               ,               ,valencia,2014,POR,1417
21,ricardo costa,DEF,29,8,lille,2010,POR,1417
15,ricardo pereira,DEF,24,4,porto,2018,POR,1418
20,ricardo quaresma,DEL,34,77,beşiktaş,2018,POR,1419
4,rolando,DEF,31,8,porto,2010,POR,1420
20,ruben amorim,CEN,               ,               ,benfica,2014,POR,1421
17,ruben amorim,MED,25,               ,benfica,2010,POR,1421
13,ruben dias,DEF,21,1,benfica,2018,POR,1422
12,rui patricio,POR,               ,               ,sporting de lisboa,2014,POR,1423
1,rui patricio,POR,30,69,sporting de lisboa,2018,POR,1423
